S.No,Short code,GoFrugal Name,Outlet id,City,State,Zone,Country,Mobile no.,Store Email,Cluster Manager,Area Manager
1,BLRMAL,BLR - MALLESWARAM,17,Bangalore,Karnataka,South,India,6360775078,mall.blr@kushals.com,AMBRISH,SATHISH
2,BLRJAY,BLR - JAYNAGAR,5,Bangalore,Karnataka,South,India,6360781794,jaynagar.blr@kushals.com,AVEEN,MANIRATHNAM
3,BLRMNT,BLR - MANTRI MALL,3,Bangalore,Karnataka,South,India,6360775871,mantri.blr@kushals.com,AMBRISH,SATHISH
4,CHNEXA,CHN - EXPRESS AVENUE MALL,6,Chennai,Tamil Nadu,South,India,6360785060,express.che@kushals.com,KARTHICK,RAHUL
5,CBTRSP,CBT - RS PURAM,7,Coimbatore,Tamil Nadu,South,India,6360768411,rspuram.cbe@kushals.com,SABARI,RAHUL
6,MYSMOM,MYS - MALL OF MYSORE,9,Mysore,Karnataka,South,India,6360771803,mall.mys@kushals.com,KANAGARATHINAM,MANIRATHNAM
7,AHMALP,AHM - ALPHA MALL,10,Ahmedabad,Gujarat,West,India,6360782473,alpha.ahm@kushals.com,AKASH,AKASH
8,CHNPNX,CHN - PHOENIX MALL VELACHERY,11,Chennai,Tamil Nadu,South,India,6360775822,phoenix.cbe@kushals.com,KARTHICK,RAHUL
9,KCHLUL,KCH - LULU MALL,12,Kochi,Kerala,South,India,6360767623,lulu.koc@kushals.com,KARTHICK,RAHUL
10,CDRELT,CDR - ELANTE MALL,13,Chandigarh,Chandigarh,North,India,6360784218,elante.chd@kushals.com,AKASH,AKASH
11,BLRHSR,BLR - HSR LAYOUT,14,Bangalore,Karnataka,South,India,6360766743,hsr.blr@kushals.com,KANAGARATHINAM,MANIRATHNAM
12,MYSDUR,MYS - DEVRAJ URS ROAD,16,Mysore,Karnataka,South,India,6360771790,urs.mys@kushals.com,KANAGARATHINAM,MANIRATHNAM
13,BLRCST,BLR - COMMERCIAL STREET,19,Bangalore,Karnataka,South,India,6360789206,comstreet.blr@kushals.com,AMBRISH,SATHISH
14,BLRBSW,BLR - BASAWESHWAR NAGAR,20,Bangalore,Karnataka,South,India,6360785825,bsr.blr@kushals.com,AVEEN,MANIRATHNAM
15,CHNADR,CHN - ADYAR,23,Chennai,Tamil Nadu,South,India,6360784225,adyar.che@kushals.com,KARTHICK,RAHUL
16,BLRIND,BLR - INDIRANAGAR,22,Bangalore,Karnataka,South,India,6360766761,indiranagar.blr@kushals.com,AMBRISH,SATHISH
17,BLRVGA,BLR - VEGA CITY MALL,24,Bangalore,Karnataka,South,India,6360783375,vegacity.blr@kushals.com,AVEEN,MANIRATHNAM
18,HYDLTM,HYD - LT MALL,25,Hyderabad,Telangana,South,India,6360787524,lnt.hyd@kushals.com,CHANDU,VENKAT
19,BLRSKR,BLR - SAHAKARNAGAR,27,Bangalore,Karnataka,South,India,6360779237,sahakar.blr@kushals.com,MUDASSIR,SATHISH
20,CHNVRM,CHN - VR MALL,26,Chennai,Tamil Nadu,South,India,6360768409,vrmall.chn@kushals.com,KARTHICK,RAHUL
21,TRVMOT,TRV - MALL OF TRAVANCORE,28,Trivandrum,Kerala,South,India,6360772629,mot.trv@kushals.com,KARTHICK,RAHUL
22,BLRBEL,BLR - BEL ROAD,29,Bangalore,Karnataka,South,India,6360787504,belroad.blr@kushals.com,MUDASSIR,SATHISH
23,BLRRMZ,BLR - RMZ MALL,44,Bangalore,Karnataka,South,India,6360775899,rmz.blr@kushals.com,MUDASSIR,SATHISH
24,BLRGRD,BLR - GARUDA MALL,31,Bangalore,Karnataka,South,India,6360766726,garuda.blr@kushals.com,AMBRISH,SATHISH
25,MGLCCM,MGL - CITY CENTER MALL,32,Mangalore,Karnataka,South,India,6360768443,citycentre.mlr@kushals.com,AVEEN,MANIRATHNAM
26,HYDSCC,HYD - SARATH CITY MALL,33,Hyderabad,Telangana,South,India,6360792563,scc.hyd@kushals.com,AJMAL,VENKAT
27,CHNCTN,CHN - T NAGAR,34,Chennai,Tamil Nadu,South,India,6360775831,tnagar.chn@kushals.com,SATHISH,RAHUL
28,BLRSNK,BLR - FORUM SHANTINIKETAN MALL,38,Bangalore,Karnataka,South,India,6360782561,forum.blr@kushals.com,AMBRISH,SATHISH
29,HYDHMT,HYD - HIMAYATH NAGAR,35,Hyderabad,Telangana,South,India,6360785873,himayat.hyd@kushals.com,,
30,CHNMRN,CHN - MARINA MALL,37,Chennai,Tamil Nadu,South,India,6360783991,marina.che@kushals.com,SATHISH,RAHUL
31,BLRDVG,BLR - DVG ROAD,39,Bangalore,Karnataka,South,India,6360791698,dvgroad.blr@kushals.com,AVEEN,MANIRATHNAM
